"","lambda","par","df","r2","aicc","bic"
"seg69",0.0970431825694023,7,7,0.0656682634832884,-6943.24286575605,3415.67220324889
"seg70",0.0961525988350907,7,7,0.0664302290563721,-6949.76968197034,3412.93796123833
"seg71",0.0952701881570086,7,7,0.0671799967627432,-6956.19721608631,3410.24749012869
"seg72",0.0943958755294651,7,7,0.0679165326029821,-6962.51634961902,3407.60450032993
"seg73",0.0935295866351111,7,7,0.0686397057771837,-6968.72569792694,3405.00946120525
"seg74",0.0926712478386217,7,7,0.0693496748552526,-6974.82636442231,3402.46180374141
"seg75",0.0918207861804377,7,7,0.070046604004912,-6980.81950889975,3399.96093883794
"seg76",0.0909781293705632,7,7,0.0707307111993511,-6986.70676258621,3397.50608431847
"seg77",0.0901432057824217,7,7,0.0714033625090125,-6992.49965715009,3395.09233816733
"seg78",0.0893159444467672,8,8,0.07210363034961,-6996.53083978662,3401.56668950515
"seg79",0.0884962750456521,8,8,0.0727928147936207,-7002.47495626605,3399.09361575168
"seg80",0.0876841279064498,8,8,0.0734707645311575,-7008.32648734847,3396.66085668893
"seg81",0.0868794339959329,8,8,0.074136908226096,-7014.08028983497,3394.27046250301
"seg82",0.0860821249144048,8,8,0.0747910570959621,-7019.73451730828,3391.92311062213
"seg83",0.085292132889886,8,8,0.075433295384431,-7025.28968452123,3389.61849874575
"seg84",0.0845093907723534,8,8,0.0760638062421832,-7030.74716804703,3387.35596965483
"seg85",0.0837338320280324,8,8,0.0766827975129775,-7036.10856606829,3385.13477752153
"seg86",0.0829653907337415,8,8,0.0772904791910168,-7041.37550347343,3382.95416880135
"seg87",0.0822040015712887,8,8,0.0778870581739652,-7046.54958621214,3380.81340106142
"seg88",0.0814495998219194,9,9,0.0784783114178049,-7049.67627518432,3387.67894105756
"seg89",0.0807021213608157,9,9,0.0790735862188834,-7054.84570011219,3385.54285325198
"seg90",0.0799615026516448,9,9,0.0796463319991673,-7059.82263592482,3383.487608725
"seg91",0.0792276807411594,9,9,0.0802073383104552,-7064.70056389929,3381.47449018173
"seg92",0.0785005932538457,9,9,0.0807605899442317,-7069.51397990408,3379.48919857156
"seg93",0.0777801783866222,9,9,0.0813040556576293,-7074.24507757135,3377.53902281905
"seg94",0.0770663749035858,9,9,0.0818376001152739,-7078.89252988537,3375.62444856252
"seg95",0.0763591221308069,9,9,0.0823613772611821,-7083.4575314616,3373.74492338828
"seg96",0.0756583599511724,9,9,0.0828755745064002,-7087.9415743176,3371.89977478937
"seg97",0.074964028799275,9,9,0.0833803736265816,-7092.34610728321,3370.08835048091
"seg98",0.0742760696563506,9,9,0.0838759490110561,-7096.6725204324,3368.31002468314
"seg99",0.0735944240452616,9,9,0.0843624699721506,-7100.92216495013,3366.56418983464
"seg100",0.0729190340255262,9,9,0.0848398635773187,-7105.09427964952,3364.85110764703
"seg101",0.0722498421883932,9,9,0.0853078390025658,-7109.18619842229,3363.17182171494
"seg102",0.0715867916519627,9,9,0.0857662653801595,-7113.19665188718,3361.52680164494
"seg103",0.0709298260563508,10,10,0.0862266205570397,-7115.22099356177,3368.86205708024
"seg104",0.0702788895588986,10,10,0.0866877384936873,-7119.25905668134,3367.20737860296
"seg105",0.0696339268294264,10,10,0.0871412708380904,-7123.23268111012,3365.57992031217
"seg106",0.0689948830455297,10,10,0.0875906866582866,-7127.17218648741,3363.96723378249
"seg107",0.0683617038879198,11,11,0.0883305011274695,-7131.65599534683,3370.29967575186
"seg108",0.0677343355358064,11,11,0.0891059938426659,-7138.46392503362,3367.51689286025
"seg109",0.0671127246623228,11,11,0.0898827586077837,-7145.28883455155,3364.72954533678
"seg110",0.0664968184299932,11,11,0.0906511200524959,-7152.04564288231,3361.97235234061
"seg111",0.0658865644862412,11,11,0.0914075038397465,-7158.70270094447,3359.25814004512
"seg112",0.06528191095894,11,11,0.0921727766783546,-7165.44363532812,3356.51203022234
"seg113",0.0646828064520033,12,12,0.0929121394397603,-7169.95572518685,3362.84609310271
"seg114",0.0640892000410163,12,12,0.0936267358834252,-7176.26054393088,3360.28183077134
"seg115",0.0635010412689073,12,12,0.0943295336174165,-7182.46611398332,3357.75990700327
"seg116",0.0629182801416587,13,13,0.0950229766930586,-7186.58728948444,3364.25874837019
"seg117",0.0623408671240575,13,13,0.0957193262808048,-7192.74539176716,3361.75996317029
"seg118",0.0617687531354849,13,13,0.0964107630980179,-7198.8647422524,3359.27880698679
"seg119",0.061201889545744,13,13,0.0971036006583749,-7205.0011882262,3356.79262436786
"seg120",0.0606402281709267,13,13,0.0977885175136478,-7211.07211081237,3354.33486445641
"seg121",0.0600837212693178,13,13,0.0984679223427953,-7217.09873123705,3351.89688393386
"seg122",0.0595323215373367,13,13,0.0991359781526153,-7223.02911105175,3349.49962830299
"seg123",0.0589859821055168,14,14,0.0999751150165542,-7228.47740536942,3355.4756611721
"seg124",0.0584446565345216,14,14,0.10082107709818,-7236.00039650814,3352.44000556687
"seg125",0.0579082988111973,14,14,0.101650896159183,-7243.38671022437,3349.46227767744
"seg126",0.0573768633446613,14,14,0.10246044073485,-7250.59913622498,3346.55730287753
"seg127",0.0568503049624274,14,14,0.103262546844045,-7257.75170994307,3343.67902031705
"seg128",0.0563285789065658,14,14,0.104048849871568,-7264.76957641699,3340.85744563333
"seg129",0.0558116408298988,14,14,0.104815689824015,-7271.61966691026,3338.10571236948
"seg130",0.0552994467922311,14,14,0.105570345432376,-7278.36664736937,3335.39770148189
"seg131",0.0547919532566149,14,14,0.106316846158343,-7285.04632230554,3332.71895362509
"seg132",0.0542891170856495,14,14,0.107043470062799,-7291.55350067947,3330.11153187846
"seg133",0.0537908955378139,14,14,0.107758376071404,-7297.96091081731,3327.54615870232
"seg134",0.0532972462638345,14,14,0.108460633246534,-7304.25995506169,3325.02617467905
"seg135",0.052808127303085,13,13,0.109112589430322,-7312.11927570185,3313.69949422588
"seg136",0.0523234970800197,12,12,0.109708885691402,-7319.48221213396,3302.57254418621
"seg137",0.0518433144006394,12,12,0.110337078783472,-7325.12903766419,3300.31833218011
"seg138",0.0513675384489903,12,12,0.110956216516839,-7330.69836739561,3298.0966144796
"seg139",0.0508961287836944,12,12,0.111560421186312,-7336.1371103335,3295.92848267863
"seg140",0.0504290453345117,12,12,0.112151745642263,-7341.46349464353,3293.80657031612
"seg141",0.0499662483989345,12,12,0.112732174444033,-7346.69518696179,3291.72375598696
"seg142",0.0495076986388126,12,12,0.113302467410485,-7351.83885435962,3289.67731315243
"seg143",0.0490533570770095,13,13,0.113875865006113,-7355.00734355609,3296.60692646788
"seg144",0.0486031850940892,13,13,0.114504292800892,-7360.68285299594,3294.35187225311
"seg145",0.0481571444250337,13,13,0.115131668025015,-7366.35287553596,3292.10059508945
"seg146",0.0477151971559903,13,13,0.115754019518639,-7371.98146846444,3289.86734511161
"seg147",0.0472773057210489,13,13,0.116368414994376,-7377.5419938082,3287.66264455793
"seg148",0.046843432899049,13,13,0.116972705119869,-7383.01483437467,3285.49420610605
"seg149",0.0464135418104156,13,13,0.117565914516926,-7388.39096483874,3283.36552980913
"seg150",0.0459875959140247,13,13,0.118147933840673,-7393.66919564563,3281.27700804101
"seg151",0.0455655590040972,13,13,0.11871904147651,-7398.85185762578,3279.22764184177
"seg152",0.0451473952071211,13,13,0.119279585529569,-7403.94192468757,3277.2161820688
"seg153",0.0447330689788026,14,14,0.119830293595574,-7406.9388122285,3284.22721463373
"seg154",0.0443225451010447,14,14,0.120374906194304,-7411.89041332246,3282.27292339076
"seg155",0.0439157886789534,14,14,0.120910612138139,-7416.76402723523,3280.35059284371
"seg156",0.0435127651378719,14,14,0.121436935237397,-7421.55517341846,3278.4619317546
"seg157",0.0431134402204415,14,14,0.121953556138398,-7426.2607921765,3276.60808609418
"seg158",0.0427177799836899,14,14,0.122460689886845,-7430.88269126772,3274.78828419111
"seg159",0.0423257507961458,14,14,0.122958589979066,-7435.4230362048,3273.00161639757
"seg160",0.0419373193349804,14,14,0.123447444597439,-7439.88340402701,3271.24740743876
"seg161",0.0415524525831748,14,14,0.123927403544212,-7444.2650274062,3269.52511976334
"seg162",0.0411711178267136,14,14,0.124398609308798,-7448.56907740098,3267.83424206143
"seg163",0.040793282651804,14,14,0.124861209295172,-7452.79677493879,3266.17424538769
"seg164",0.0404189149421208,15,15,0.125321701580892,-7454.99990870145,3273.50900882077
"seg165",0.0400479828760766,15,15,0.125819642154309,-7459.55547947981,3271.72219576425
"seg166",0.0396804549241165,15,15,0.126340843838604,-7464.3266424665,3269.85191239252
"seg167",0.0393162998460384,15,15,0.126822052324736,-7468.73422915902,3268.12514086228
"seg168",0.0389554866883377,15,15,0.12732943734387,-7473.3842090895,3266.3044372979
"seg169",0.0385979847815755,15,15,0.12779624776153,-7477.66472763287,3264.62933188629
"seg170",0.0382437637377728,15,15,0.128263784430242,-7481.95420262439,3262.95162039088
"seg171",0.0378927934478263,14,14,0.128765055787565,-7488.56325875051,3252.16565830798
"seg172",0.0375450440789499,14,14,0.129181983288329,-7492.39255687704,3250.66955306621
"seg173",0.0372004860721388,14,14,0.129602065650148,-7496.25268572287,3249.16212690135
"seg174",0.0368590901396565,14,14,0.130016659480898,-7500.06420766537,3247.67439581559
"seg175",0.0365208272625458,14,14,0.130424446415966,-7503.81492349495,3246.21109063672
"seg176",0.036185668688162,16,16,0.131010954900736,-7505.19701172566,3262.08085357653
"seg177",0.0358535859277289,16,16,0.131823721959926,-7512.68292784585,3259.16431519666
"seg178",0.035524550753917,16,16,0.132604523238262,-7519.88102914108,3256.362483024
"seg179",0.0351985351984447,16,16,0.133370476845852,-7526.94855038161,3253.61393032556
"seg180",0.0348755115497004,17,17,0.134488429980077,-7535.26669450551,3258.58945715297
"seg181",0.0345554523503873,17,17,0.136031651502308,-7549.5435592696,3253.05175142618
"seg182",0.0342383303951894,17,17,0.137438488456053,-7562.58092211089,3248.00344893481
"seg183",0.0339241187284591,17,17,0.138842589083468,-7575.61414621419,3242.96496549389
"seg184",0.033612790641926,17,17,0.140222850729845,-7588.44681956989,3238.01202600108
"seg185",0.0333043196724263,17,17,0.141577631379869,-7601.06263901744,3233.15052267436
"seg186",0.0329986795996539,17,17,0.142907610003661,-7613.46688219698,3228.37801909313
"seg187",0.0326958444439314,17,17,0.144213298714236,-7625.66332006693,3223.69267758784
"seg188",0.0323957884640018,17,17,0.145495129393016,-7637.65501495551,3219.09294839252
"seg189",0.0320984861548406,18,18,0.146755221625548,-7647.45185921102,3223.55842239383
"seg190",0.0318039122454876,18,18,0.148007299383001,-7659.19992830182,3219.0654587668
"seg191",0.0315120416968991,18,18,0.149242011976994,-7670.80198202479,3214.63480840054
"seg192",0.0312228496998195,18,18,0.150457360450113,-7682.23853540026,3210.27364436628
"seg193",0.0309363116726723,19,19,0.151697423502826,-7691.91499683217,3214.81099120127
"seg194",0.0306524032594711,19,19,0.153007409572362,-7704.27849653013,3210.11022902631
"seg195",0.0303711003277487,19,19,0.154300535673491,-7716.50164224937,3205.46996726704
"seg196",0.0300923789665063,20,20,0.155606921289268,-7726.85907706624,3209.76932180345
"seg197",0.0298162154841809,19,19,0.156907157780883,-7741.19738883462,3196.11634825399
"seg198",0.0295425864066313,19,19,0.158173859456057,-7753.22599722966,3191.57090806948
"seg199",0.0292714684751432,19,19,0.159417572748238,-7765.05393051573,3187.10795954175
"seg200",0.0290028386444517,19,19,0.16063897859408,-7776.68676077112,3182.72505919347
"seg201",0.028736674080783,20,20,0.161839077500223,-7786.12312167859,3187.40581362105
"seg202",0.0284729521599128,20,20,0.162990199180502,-7797.11779196924,3183.27512141044
"seg203",0.0282116504652439,20,20,0.164187579906219,-7808.57035079099,3178.97843295293
"seg204",0.0279527467859003,21,21,0.165328708032133,-7817.48960862768,3183.87079849575
"seg205",0.0276962191148395,21,21,0.166482054859402,-7828.55163430564,3179.73212155382
"seg206",0.0274420456469819,21,21,0.167616113624672,-7839.44359846819,3175.66265801376
"seg207",0.0271902047773571,21,21,0.168729661754353,-7850.15301901481,3171.66679496625
"seg208",0.0269406750992677,21,21,0.169823030338663,-7860.68233269878,3167.74334432511
"seg209",0.0266934354024696,20,20,0.170902244856475,-7873.09949074097,3154.88348740372
"seg210",0.0264484646713692,20,20,0.171950077683768,-7883.21646926925,3151.1234375568
"seg211",0.0262057420832369,20,20,0.172979811588081,-7893.17118024379,3147.42833399789
"seg212",0.0259652470064374,20,20,0.173991119192293,-7902.95983065984,3143.79935148908
"seg213",0.0257269589986758,21,21,0.175100936154091,-7911.70523291027,3148.80407420832
"seg214",0.0254908578052598,21,21,0.176220372279374,-7922.56907244955,3144.78708264071
"seg215",0.0252569233573785,21,21,0.17731766703369,-7933.23237296157,3140.84954330665
"seg216",0.0250251357703963,22,22,0.178396637387747,-7941.72043171104,3145.96495618533
"seg217",0.0247954753421626,23,23,0.179508787485435,-7950.54528767478,3150.9613066652
"seg218",0.0245679225513371,23,23,0.180623326825327,-7961.41971990173,3146.9618867528
"seg219",0.0243424580557307,23,23,0.181721331351763,-7972.14729768125,3143.02180046804
"seg220",0.0241190626906612,24,24,0.182795710528666,-7980.64594183643,3148.15368835543
"seg221",0.0238977174673244,24,24,0.183857278060162,-7991.0448850964,3144.34435281036
"seg222",0.0236784035711797,24,24,0.184899438394537,-8001.26688434497,3140.60465817238
"seg223",0.0234611023603515,24,24,0.185922598351542,-8011.31524114427,3136.93314460695
"seg224",0.0232457953640439,24,24,0.186927138855971,-8021.1930320775,3133.32844520117
"seg225",0.0230324642809712,25,25,0.187921960341541,-8028.97472955517,3138.74581840389
"seg226",0.022821090977802,25,25,0.188937959014167,-8038.98987309019,3135.10000243596
"seg227",0.0226116574876179,26,26,0.189937038118405,-8046.8374101538,3140.50209757332
"seg228",0.0224041460083866,26,26,0.19092798009034,-8056.62972130072,3136.94619522628
"seg229",0.0221985389014479,28,28,0.191913186633313,-8062.34960854817,3151.38526756959
"seg230",0.0219948186900155,27,27,0.19288391494403,-8073.97959893484,3138.91470322976
"seg231",0.0217929680576906,27,27,0.193843236441331,-8083.49388895661,3135.47226799094
"seg232",0.0215929698469902,27,27,0.194756015639292,-8092.55710228096,3132.19684542909
"seg233",0.021394807057889,29,29,0.195734747719005,-8098.25794435719,3146.6591507767
"seg234",0.021198462846374,32,32,0.196736627081448,-8102.18304290252,3170.0255910914
"seg235",0.0210039205230131,34,34,0.197829442654915,-8109.0404978967,3184.07851851913
"seg236",0.0208111635515361,34,34,0.199014192277119,-8120.86467039737,3179.82715559217
"seg237",0.0206201755474294,34,34,0.200282946778302,-8133.5466470249,3175.27434903402
"seg238",0.0204309402765431,35,35,0.201517989424137,-8143.89337643999,3179.82971112833
"seg239",0.0202434416537112,36,36,0.202797333805422,-8154.70329784525,3184.2261005991
"seg240",0.0200576637413846,37,37,0.204062819556441,-8165.39402027273,3188.67222046506
"seg241",0.0198735907482756,36,36,0.205340436767777,-8180.26435536754,3175.10041408191
"seg242",0.0196912070280166,38,38,0.206510637925473,-8188.01592399896,3188.87565059697
"seg243",0.0195104970778295,39,39,0.207680071691085,-8197.79526651312,3193.66644400591
"seg244",0.0193314455372082,41,41,0.208872897173641,-8205.80740642947,3207.36049525267
"seg245",0.0191540371866128,41,41,0.210269049685191,-8219.93798946836,3202.35053288025
"seg246",0.018978256946176,43,43,0.211467725027769,-8228.04699005513,3216.02359245285
"seg247",0.0188040898744215,43,43,0.212759794235713,-8241.16634085792,3211.38712325567
"seg248",0.0186315211669936,42,42,0.214031137848966,-8256.11795896954,3197.83782909097
"seg249",0.018460536155399,43,43,0.214956111784621,-8263.51669330011,3203.50584367706
"seg250",0.01829112030576,43,43,0.216661610178463,-8280.91550316908,3197.38582261296
"seg251",0.018123259217579,43,43,0.217816651266321,-8292.72029661519,3193.24106597578
"seg252",0.0179569386225146,43,43,0.219059050925115,-8305.43739067773,3188.78283129828
"seg253",0.0177921443831686,44,44,0.220279029203209,-8315.92249977237,3193.39225046367
"seg254",0.0176288624918843,44,44,0.221559427960616,-8329.07029232562,3188.79765958392
"seg255",0.0174670790695562,44,44,0.222679839300612,-8340.59300540217,3184.77716854976
"seg256",0.0173067803644498,44,44,0.223829924264783,-8352.43817980814,3180.65019649769
"seg257",0.0171479527510329,44,44,0.225040252523874,-8364.92279314343,3176.30704703074
"seg258",0.0169905827288173,44,44,0.226121681280049,-8376.09430505821,3172.42644134328
"seg259",0.0168346569212117,45,45,0.227205992143642,-8385.28858207386,3177.52269030426
"seg260",0.0166801620743838,45,45,0.228333349641521,-8396.96756079932,3173.47727363386
"seg261",0.0165270850561347,45,45,0.229381951522026,-8407.84598855393,3169.71446411161
"seg262",0.016375412854782,44,44,0.23044315073565,-8420.89287736452,3156.91925342003
"seg263",0.0162251325780539,43,43,0.231447794804189,-8433.36575580813,3144.32698556349
"seg264",0.0160762314519935,44,44,0.232126336507374,-8438.40975561295,3150.87929910818
"seg265",0.0159286968198731,44,44,0.233099135918513,-8448.55117533485,3147.38849963936
"seg266",0.0157825161411179,44,44,0.233943440940127,-8457.36347599491,3144.3587902386
"seg267",0.0156376769902405,45,45,0.234867780524254,-8464.99957608226,3150.02908113566
"seg268",0.0154941670557846,45,45,0.235765620673098,-8474.39264380264,3146.80726595075
"seg269",0.0153519741392784,46,46,0.236671572259557,-8481.85856262874,3152.54354045322
"seg270",0.0152110861541978,47,47,0.237759859457657,-8491.2486940941,3157.62552071068
"seg271",0.015071491124939,47,47,0.238983627856195,-8504.10293001966,3153.23414256358
"seg272",0.0149331771858007,48,48,0.240280700693492,-8515.72550737648,3157.56691513232
"seg273",0.0147961325799753,48,48,0.24148771760388,-8528.44575036688,3153.23564812969
"seg274",0.0146603456585497,49,49,0.242713556485145,-8539.36035611455,3157.82403707013
"seg275",0.014525804879515,50,50,0.243910925855301,-8549.99417979059,3162.51458618165
"seg276",0.0143924988067857,50,50,0.245184501389521,-8563.48094377364,3157.94447979851
"seg277",0.0142604161092273,50,50,0.246446647357501,-8576.86914135148,3153.41538734208
"seg278",0.0141295455596932,50,50,0.247646509124221,-8589.61746799112,3149.10979590158
"seg279",0.0139998760340707,50,50,0.248839884066675,-8602.31705581163,3144.82748182169
"seg280",0.0138713965103349,51,51,0.249990424980182,-8612.55418455051,3149.68607045884
"seg281",0.0137440960676123,51,51,0.251141375224077,-8624.84025982001,3145.55599343163
"seg282",0.0136179638852524,51,51,0.252243848321653,-8636.62657452798,3141.59987209835
"seg283",0.0134929892419077,51,51,0.253350171427307,-8648.47153042227,3137.62993537208
"seg284",0.0133691615146225,53,53,0.254440253012564,-8656.106748899,3151.69267346014
"seg285",0.0132464701779303,55,55,0.255499860557037,-8663.42956401308,3165.86476478605
"seg286",0.0131249048029585,55,55,0.256638928404716,-8675.67875028681,3161.77732662346
"seg287",0.0130044550565423,56,56,0.257766286069807,-8685.79220551191,3166.71910617371
"seg288",0.0128851107003465,56,56,0.258890824670673,-8697.92198426443,3162.68380485091
"seg289",0.0127668615899947,56,56,0.260111601583416,-8711.11068583557,3158.30316137009
"seg290",0.0126496976742078,56,56,0.261348720402898,-8724.49815593547,3153.86387648929
"seg291",0.0125336089939489,58,58,0.262624823674105,-8734.27287959415,3167.25909320031
"seg292",0.0124185856815771,58,58,0.263912915224849,-8748.25998371348,3162.63689745302
"seg293",0.0123046179600088,57,57,0.265340671838978,-8765.82163018978,3148.5263299013
"seg294",0.0121916961418866,58,58,0.266582056225153,-8777.32167601116,3153.05893525506
"seg295",0.0120798106287557,58,58,0.267811647092537,-8790.74510257426,3148.64666372448
"seg296",0.0119689519102482,58,58,0.269018754331498,-8803.94502158838,3144.31507258623
"seg297",0.0118591105632747,59,59,0.27022798231879,-8815.16017317228,3148.96306816212
"seg298",0.0117502772512231,59,59,0.271420934516657,-8828.24840661869,3144.68227106154
"seg299",0.0116424427231653,60,60,0.272593944128348,-8839.10841382019,3149.46023288213
"seg300",0.0115355978130709,61,61,0.273746625761008,-8849.76478838321,3154.31113974934
"seg301",0.0114297334390276,62,62,0.274867863745656,-8860.09389520113,3159.27487919902
"seg302",0.0113248406024696,62,62,0.276054076226646,-8873.19146700127,3155.01826694048
"seg303",0.0112209103874129,62,62,0.27722139112876,-8886.10134864462,3150.82946687173
"seg304",0.0111179339596968,62,62,0.278344599119744,-8898.54312954752,3146.79894031774
"seg305",0.0110159025662336,62,62,0.27946226977593,-8910.94281007116,3142.78828397044
"seg306",0.0109148075342644,62,62,0.280530804361611,-8922.81536165527,3138.95394780472
"seg307",0.0108146402706217,63,63,0.281604989621499,-8932.73660635173,3144.08653154513
"seg308",0.0107153922609992,64,64,0.282670927416957,-8942.58324505632,3149.24871053829
"seg309",0.010617055069228,66,66,0.283766878639376,-8950.74885093765,3163.29038598379
"seg310",0.0105196203365595,67,67,0.284828625717986,-8960.58295660434,3168.4676029714
"seg311",0.0104230797809551,67,67,0.285882881084306,-8972.38469502211,3164.68450644542
"seg312",0.0103274251963818,70,70,0.286922060874933,-8977.92987364234,3187.91709767118
"seg313",0.010232648452115,72,72,0.287945789174914,-8985.35082820981,3202.2179383016
"seg314",0.0101387414920473,74,74,0.28904413724553,-8993.62587506493,3216.25101288209
"seg315",0.0100456963340039,75,75,0.290172921783743,-9004.29953153171,3221.18767223193
"seg316",0.00995350506906368,75,75,0.291732752090372,-9021.89870988778,3215.59036743971
"seg317",0.00986215986088734,76,76,0.293236462368866,-9036.86287990276,3219.18164092681
"seg318",0.00977165294505114,77,77,0.294654068662233,-9050.88610189074,3223.08189049069
"seg319",0.00968197662838688,78,78,0.296015696381871,-9064.30496392252,3227.18301391737
"seg320",0.0095931232883281,78,78,0.297375323286035,-9079.7705535397,3222.3041202621
"seg321",0.00950508537226201,78,78,0.298689849648741,-9094.75161073988,3217.58706567084
"seg322",0.00941785539688764,78,78,0.29998855051497,-9109.57991268798,3212.92679938975
"seg323",0.00933142594757967,81,81,0.301016529115168,-9115.21484978194,3236.19958503704
"seg324",0.0092457896777582,81,81,0.301569684560098,-9121.5483264284,3234.21463859153
"seg325",0.0091609393082643,82,82,0.302865397111494,-9134.36189242531,3238.55229241867
"seg326",0.00907686762674127,82,82,0.304714740153696,-9155.61231183228,3231.91609832205
"seg327",0.00899356748702158,83,83,0.305496643572754,-9162.57185126564,3238.09750804142
"seg328",0.00891103180851942,83,83,0.30700819768796,-9180.0024529212,3232.67343783532
"seg329",0.00882925357562887,85,85,0.307927391453069,-9186.534942197,3247.34939084207
"seg330",0.00874822583712757,84,84,0.309420917834801,-9205.86117701733,3233.00281464645
"seg331",0.00866794170558584,84,84,0.310800661658339,-9221.86078116158,3228.05173331234
"seg332",0.00858839435678125,85,85,0.311523818434991,-9228.21616512287,3234.4439498494
"seg333",0.00850957702911856,86,86,0.313172849413635,-9245.35696000792,3237.51375363053
"seg334",0.00843148302305497,85,85,0.313865121398033,-9255.468152772,3226.04240370724
"seg335",0.00835410570053068,87,87,0.315488348437971,-9270.32868650683,3238.19199932348
"seg336",0.00827743848440458,87,87,0.316193285774524,-9278.57165003398,3235.66239779226
"seg337",0.00820147485789529,87,87,0.31783212259407,-9297.76776235888,3229.78158553676
"seg338",0.00812620836402712,87,87,0.318886390790632,-9310.14106506507,3225.99844297066
"seg339",0.00805163260508132,88,88,0.320172473139977,-9323.21624734536,3230.37065387485
"seg340",0.00797774124205219,89,89,0.321329269093178,-9334.79540252775,3235.2067968886
"seg341",0.00790452799410829,90,90,0.322565088263645,-9347.33043388619,3239.75937249708
"seg342",0.00783198663805859,89,89,0.32372169135035,-9363.04649889925,3226.62181395284
"seg343",0.00776011100782344,88,88,0.324482991440698,-9374.10258919077,3214.90276314401
"seg344",0.00768889499391048,90,90,0.326018459585175,-9388.2164696637,3227.36727332759
"seg345",0.00761833254289535,90,90,0.327144718514251,-9401.59607643753,3223.32579876833
"seg346",0.00754841765690707,91,91,0.328586774333159,-9416.71369392698,3227.13831350241
"seg347",0.0074791443931183,91,91,0.329962933542079,-9433.12768645151,3222.20009522173
"seg348",0.00741050686324015,93,93,0.331062934311262,-9442.17795452087,3236.22723924838
"seg349",0.00734249923302165,93,93,0.332211106789158,-9455.92105873899,3232.10712997399
"seg350",0.00727511572175389,96,96,0.333833471250762,-9469.23527431339,3253.24701769236
"seg351",0.00720835060177862,95,95,0.334697848287458,-9481.67120754119,3241.15808492695
"seg352",0.00714219819800138,95,95,0.33640789294133,-9502.26030210879,3235.02175003503
"seg353",0.00707665288740916,94,94,0.337791817974732,-9521.0101309731,3221.06846800073
"seg354",0.00701170909859237,93,93,0.33934265680883,-9541.81531124108,3206.51623144391
"seg355",0.00694736131127135,94,94,0.33991138475229,-9546.65724556692,3213.46260136829
"seg356",0.00688360405582707,97,97,0.341150586131438,-9555.54332330725,3235.97743387939
"seg357",0.00682043191283622,99,99,0.342468342803457,-9567.45969250488,3249.22318126739
"seg358",0.00675783951261061,101,101,0.343910417004544,-9580.92183314941,3262.0228268594
"seg359",0.00669582153474065,104,104,0.345364795731078,-9592.51787607871,3283.76551563628
"seg360",0.00663437270764321,104,104,0.34683761708824,-9610.53683551714,3278.48043430052
"seg361",0.00657348780811343,104,104,0.34832076719181,-9628.72326641491,3273.15828922678
"seg362",0.00651316166088084,104,104,0.349711197416378,-9645.81039255466,3268.16886074462
"seg363",0.00645338913816937,104,104,0.351090921669582,-9662.80210465223,3263.21784963682
"seg364",0.00639416515926157,105,105,0.352506681760403,-9678.22165059902,3267.12472412542
"seg365",0.00633548469006665,109,109,0.353849028963036,-9686.60459494579,3298.25662434145
"seg366",0.00627734274269268,107,107,0.35512010998735,-9706.468112791,3275.72107563187
"seg367",0.00621973437502251,109,109,0.356592031727448,-9720.63802225442,3288.41361612891
"seg368",0.00616265469029379,108,108,0.357611164641079,-9735.37539189302,3275.76935641036
"seg369",0.00610609883668264,108,108,0.35915710984729,-9754.65104941787,3270.221876999
"seg370",0.00605006200689133,109,109,0.360477787918935,-9769.09918571695,3274.4699443977
"seg371",0.0059945394377396,109,109,0.361819436979219,-9785.89995759635,3269.65556254944
"seg372",0.00593952640975979,109,109,0.363102945619289,-9802.00575766457,3265.04981214737
"seg373",0.00588501824679571,110,110,0.364406179312251,-9816.33615721278,3269.36047706324
"seg374",0.00583101031560513,108,108,0.36656533684602,-9847.67078998047,3243.63814907318
"seg375",0.00577749802546597,109,109,0.367389825519078,-9856.0348624588,3249.66674560173
"seg376",0.00572447682778609,110,110,0.368594166810006,-9869.22334135769,3254.33227662931
"seg377",0.00567194221571663,112,112,0.369894586614418,-9881.60294978585,3267.64023574105
"seg378",0.00561988972376893,113,113,0.371620231819839,-9901.48457106848,3270.43511655341
"seg379",0.005568314927435,112,112,0.373020591380898,-9921.39038376307,3256.42286075765
"seg380",0.00551721344281138,115,115,0.374366192402581,-9932.40341399518,3278.55588812846
"seg381",0.00546658092622651,117,117,0.375690389703752,-9945.23481028395,3291.77852392267
"seg382",0.00541641307387157,118,118,0.377104695225031,-9961.31816385189,3295.69061799768
"seg383",0.00536670562143458,122,122,0.37722734331302,-9954.64694617198,3331.19929411712
"seg384",0.00531745434373798,121,121,0.379673564096632,-9988.19486366736,3313.43406339319
"seg385",0.00526865505437944,123,123,0.380786641814718,-9998.43711266952,3327.41428201491
"seg386",0.00522030360537607,123,123,0.381977320872241,-10013.8350401685,3323.1416418653
"seg387",0.0051723958868118,124,124,0.383109689245688,-10026.4429614856,3328.06544095846
"seg388",0.00512492782648804,124,124,0.384244218305387,-10041.1693863631,3323.99428981093
"seg389",0.00507789538957752,124,124,0.385356445074047,-10055.6326850793,3320.00316834356
"seg390",0.00503129457828138,127,127,0.386815426799611,-10068.4513155089,3341.72933969004
"seg391",0.0049851214314893,125,125,0.391226237288481,-10130.3351282601,3307.92716620496
"seg392",0.00493937202444283,129,129,0.391516413960246,-10125.8880530743,3342.83468171045
