"","lambda","par","df","r2","aicc","bic"
"seg836",8.2393691274039e-05,557,557,0.681411525724243,-14367.1799957217,6149.09349544965
"seg837",8.16375487062077e-05,556,556,0.681560207666285,-14373.2249483107,6139.57276742167
"seg838",8.08883454024638e-05,556,556,0.681581078463082,-14373.749291845,6139.49787452438
"seg839",8.01460176798617e-05,559,559,0.681602229921438,-14367.3471663579,6166.3835649614
"seg840",7.9410502439886e-05,560,560,0.681628949577636,-14365.7061195588,6175.27488080126
"seg841",7.86817371630888e-05,561,561,0.681655882995504,-14364.0698791581,6184.16542957741
"seg842",7.79596599037748e-05,560,560,0.681699063096003,-14367.468119962,6175.02328501505
"seg843",7.72442092847361e-05,560,560,0.681752751053743,-14368.81759726,6174.83063081294
"seg844",7.65353244920352e-05,561,561,0.681784864256527,-14367.3118400529,6183.70259241663
"seg845",7.58329452698356e-05,562,562,0.681817064889177,-14365.8077405093,6192.57424028643
"seg846",7.51370119152803e-05,562,562,0.681854641199422,-14366.7525687849,6192.4394012206
"seg847",7.44474652734163e-05,563,563,0.681892151666992,-14365.38155887,6201.29199524569
"seg848",7.37642467321672e-05,563,563,0.681934861493225,-14366.4557277436,6201.13873503909
"seg849",7.30872982173508e-05,562,562,0.681972087239065,-14369.7063814325,6192.01795712009
"seg850",7.24165621877426e-05,565,565,0.682040335875602,-14364.4786121366,6218.73464374944
"seg851",7.17519816301847e-05,564,564,0.682066397339772,-14367.4498957675,6209.65392780835
"seg852",7.109350005474e-05,564,564,0.68211827555686,-14368.7553872206,6209.46776769088
"seg853",7.04410614898903e-05,566,566,0.682138975871527,-14364.6446590057,6227.36788019406
"seg854",6.97946104777785e-05,566,566,0.682159812761016,-14365.1691038643,6227.29310896998
"seg855",6.91540920694949e-05,567,567,0.682180772725812,-14363.3798954976,6236.20509292236
"seg856",6.85194518204065e-05,567,567,0.682201845617825,-14363.9103502681,6236.12947482534
"seg857",6.78906357855289e-05,568,568,0.682228262540207,-14362.2579675213,6245.02187699711
"seg858",6.7267590514941e-05,568,568,0.682270336947358,-14363.3172736296,6244.87089693231
"seg859",6.66502630492419e-05,568,568,0.682322260978673,-14364.6247568289,6244.68457241478
"seg860",6.60386009150493e-05,569,569,0.682358241151847,-14363.2128550073,6253.54265775782
"seg861",6.54325521205389e-05,571,571,0.682378803404727,-14359.0928062628,6271.44326568278
"seg862",6.48320651510254e-05,572,572,0.682383997112303,-14356.9037166179,6280.41182537081
"seg863",6.42370889645835e-05,572,572,0.682404940314298,-14357.4312440049,6280.33667265426
"seg864",6.36475729877093e-05,572,572,0.682410221858178,-14357.5642835503,6280.3177203293
"seg865",6.30634671110216e-05,573,573,0.682426210881366,-14355.6465221692,6289.24754203952
"seg866",6.24847216850026e-05,574,574,0.682431590905477,-14353.4608957649,6298.21543314813
"seg867",6.19112875157774e-05,575,575,0.682458605050083,-14351.8196684156,6307.10569224395
